t,gt_x,gt_y,gt_yaw,odom_x,odom_y,odom_yaw,kf_x,kf_y,kf_yaw,kf_cov_x,kf_cov_y,ekf_x,ekf_y,ekf_yaw,ekf_cov_x,ekf_cov_y,ekf_cov_yaw,pf_x,pf_y,pf_yaw,pf_cov_x,pf_cov_y,pf_cov_yaw
0.05024,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.10015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.15040,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.20037,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.25017,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.30021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.35023,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.40254,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.45030,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.50065,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.55019,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.60365,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.65019,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.70034,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.75020,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.80128,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.85015,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.90016,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.95301,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.00020,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.05038,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.10028,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.15023,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.20023,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.25033,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.30102,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.35017,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1.40029,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00098,0.00098,-0.00000,0.00000,0.00000,0.00095,0.00095,0.00095,nan,nan,nan,nan,nan,nan
1.45031,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00098,0.00098,-0.00000,0.00000,0.00000,0.00095,0.00095,0.00095,nan,nan,nan,nan,nan,nan
1.50014,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00095,0.00095,-0.00000,0.00000,0.00000,0.00092,0.00092,0.00092,nan,nan,nan,nan,nan,nan
1.55019,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00095,0.00095,-0.00000,0.00000,0.00000,0.00092,0.00092,0.00092,nan,nan,nan,nan,nan,nan
1.60015,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00095,0.00095,-0.00000,0.00000,0.00000,0.00092,0.00092,0.00092,nan,nan,nan,nan,nan,nan
1.65073,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00095,0.00095,-0.00000,0.00000,0.00000,0.00092,0.00092,0.00092,nan,nan,nan,nan,nan,nan
1.70147,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00095,0.00095,-0.00000,0.00000,0.00000,0.00092,0.00092,0.00092,nan,nan,nan,nan,nan,nan
1.75026,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00095,0.00095,-0.00000,0.00000,0.00000,0.00092,0.00092,0.00092,nan,nan,nan,nan,nan,nan
1.80321,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00095,0.00095,-0.00000,0.00000,0.00000,0.00092,0.00092,0.00092,nan,nan,nan,nan,nan,nan
1.85023,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00095,0.00095,-0.00000,0.00000,0.00000,0.00092,0.00092,0.00092,nan,nan,nan,nan,nan,nan
1.90039,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00095,0.00095,-0.00000,0.00000,0.00000,0.00092,0.00092,0.00092,nan,nan,nan,nan,nan,nan
1.95024,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00093,0.00093,-0.00000,0.00000,0.00000,0.00092,0.00092,0.00092,nan,nan,nan,nan,nan,nan
2.00074,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00093,0.00093,-0.00000,0.00000,0.00000,0.00092,0.00092,0.00092,nan,nan,nan,nan,nan,nan
2.05025,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00093,0.00093,-0.00000,0.00000,0.00000,0.00092,0.00092,0.00092,nan,nan,nan,nan,nan,nan
2.10015,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00095,0.00095,-0.00000,0.00000,0.00000,0.00092,0.00092,0.00092,nan,nan,nan,nan,nan,nan
2.15050,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00092,0.00092,-0.00000,0.00000,0.00000,0.00092,0.00092,0.00092,-0.00024,0.00400,0.04276,0.00000,0.00000,0.00329
2.20196,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00092,0.00092,-0.00000,0.00000,0.00000,0.00092,0.00092,0.00092,-0.00024,0.00400,0.04276,0.00000,0.00000,0.00329
2.25016,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00092,0.00092,-0.00000,0.00000,0.00000,0.00092,0.00092,0.00092,-0.00024,0.00400,0.04276,0.00000,0.00000,0.00329
2.30017,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00092,0.00092,-0.00000,0.00000,0.00000,0.00092,0.00092,0.00092,-0.00024,0.00400,0.04276,0.00000,0.00000,0.00329
2.35014,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00092,0.00092,-0.00000,0.00000,0.00000,0.00092,0.00092,0.00092,-0.00024,0.00400,0.04276,0.00000,0.00000,0.00329
2.40021,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00092,0.00092,-0.00000,0.00000,0.00000,0.00092,0.00092,0.00092,-0.00024,0.00400,0.04276,0.00000,0.00000,0.00329
2.45149,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.00092,0.00092,-0.00000,0.00000,0.00000,0.00092,0.00092,0.00092,-0.00063,0.00400,0.18444,0.00000,0.00000,0.00759
