t,gt_x,gt_y,gt_yaw,odom_x,odom_y,odom_yaw,kf_x,kf_y,kf_yaw,kf_cov_x,kf_cov_y,ekf_x,ekf_y,ekf_yaw,ekf_cov_x,ekf_cov_y,ekf_cov_yaw,pf_x,pf_y,pf_yaw,pf_cov_x,pf_cov_y,pf_cov_yaw
0.05020,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.10020,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.15014,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.20013,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.25029,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.30024,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.35100,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.81967,1.63934,0.40984,0.00902,0.00902,0.00902,nan,nan,nan,nan,nan,nan
0.40019,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.81967,1.63934,0.40984,0.00902,0.00902,0.00902,nan,nan,nan,nan,nan,nan
0.45012,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.81967,1.63934,0.40984,0.00902,0.00902,0.00902,nan,nan,nan,nan,nan,nan
0.50017,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.59382,1.18765,0.29691,0.01378,0.01378,0.01378,nan,nan,nan,nan,nan,nan
0.55054,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.59382,1.18765,0.29691,0.01378,0.01378,0.01378,nan,nan,nan,nan,nan,nan
0.60028,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.59382,1.18765,0.29691,0.01378,0.01378,0.01378,nan,nan,nan,nan,nan,nan
0.65018,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.40245,0.80489,0.20122,0.01611,0.01611,0.01611,nan,nan,nan,nan,nan,nan
0.70457,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.40245,0.80489,0.20122,0.01611,0.01611,0.01611,nan,nan,nan,nan,nan,nan
0.75010,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.40245,0.80489,0.20122,0.01611,0.01611,0.01611,nan,nan,nan,nan,nan,nan
0.80013,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.17133,0.34265,0.08566,0.01760,0.01760,0.01760,nan,nan,nan,nan,nan,nan
0.85019,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.17133,0.34265,0.08566,0.01760,0.01760,0.01760,nan,nan,nan,nan,nan,nan
0.90013,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.17133,0.34265,0.08566,0.01760,0.01760,0.01760,nan,nan,nan,nan,nan,nan
0.95098,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.17133,0.34265,0.08566,0.01760,0.01760,0.01760,nan,nan,nan,nan,nan,nan
1.00045,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.17133,0.34265,0.08566,0.01760,0.01760,0.01760,nan,nan,nan,nan,nan,nan
1.05016,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.17133,0.34265,0.08566,0.01760,0.01760,0.01760,nan,nan,nan,nan,nan,nan
1.10042,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.17133,0.34265,0.08566,0.01760,0.01760,0.01760,nan,nan,nan,nan,nan,nan
1.15021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.17133,0.34265,0.08566,0.01760,0.01760,0.01760,nan,nan,nan,nan,nan,nan
1.20055,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.07096,0.14193,0.03548,0.01786,0.01786,0.01786,nan,nan,nan,nan,nan,nan
1.25018,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.07096,0.14193,0.03548,0.01786,0.01786,0.01786,nan,nan,nan,nan,nan,nan
1.30013,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.04557,0.09114,0.02279,0.01789,0.01789,0.01789,nan,nan,nan,nan,nan,nan
1.35013,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.02925,0.05851,0.01463,0.01790,0.01790,0.01790,nan,nan,nan,nan,nan,nan
1.40018,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.02925,0.05851,0.01463,0.01790,0.01790,0.01790,nan,nan,nan,nan,nan,nan
1.45062,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.02925,0.05851,0.01463,0.01790,0.01790,0.01790,nan,nan,nan,nan,nan,nan
