t,gt_x,gt_y,gt_yaw,odom_x,odom_y,odom_yaw,kf_x,kf_y,kf_yaw,kf_cov_x,kf_cov_y,ekf_x,ekf_y,ekf_yaw,ekf_cov_x,ekf_cov_y,ekf_cov_yaw,pf_x,pf_y,pf_yaw,pf_cov_x,pf_cov_y,pf_cov_yaw
0.05396,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.10019,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.15028,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.20336,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.25018,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.30049,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.35025,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.40031,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
0.45564,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00113,0.00252,0.00528,0.00678,0.00705,0.00270
0.50042,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00113,0.00252,0.00528,0.00678,0.00705,0.00270
0.55021,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00113,0.00252,0.00528,0.00678,0.00705,0.00270
0.60022,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00113,0.00252,0.00528,0.00678,0.00705,0.00270
0.65141,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00113,0.00252,0.00528,0.00678,0.00705,0.00270
0.70122,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00113,0.00252,0.00528,0.00678,0.00705,0.00270
0.75023,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00113,0.00252,0.00528,0.00678,0.00705,0.00270
0.80022,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00113,0.00252,0.00528,0.00678,0.00705,0.00270
0.85275,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.00113,0.00252,0.00528,0.00678,0.00705,0.00270
0.90016,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.02076,0.02076,nan,nan,nan,nan,nan,nan,-0.00167,0.00192,0.00573,0.00509,0.00479,0.00295
0.95017,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.02076,0.02076,nan,nan,nan,nan,nan,nan,-0.00167,0.00192,0.00573,0.00509,0.00479,0.00295
1.00016,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.02076,0.02076,nan,nan,nan,nan,nan,nan,-0.00167,0.00192,0.00573,0.00509,0.00479,0.00295
1.05018,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.02302,0.02302,nan,nan,nan,nan,nan,nan,-0.00074,0.00163,0.00560,0.00453,0.00432,0.00298
1.10040,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.02302,0.02302,nan,nan,nan,nan,nan,nan,-0.00074,0.00163,0.00560,0.00453,0.00432,0.00298
1.15338,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.02302,0.02302,nan,nan,nan,nan,nan,nan,-0.00074,0.00163,0.00560,0.00453,0.00432,0.00298
1.20027,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.02302,0.02302,-0.00000,0.00000,0.00000,0.01787,0.01787,0.01787,-0.00074,0.00163,0.00560,0.00453,0.00432,0.00298
1.25020,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.02472,0.02472,-0.00000,0.00000,0.00000,0.01789,0.01789,0.01789,-0.00069,0.00144,0.00432,0.00417,0.00393,0.00296
1.30029,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.02472,0.02472,-0.00000,0.00000,0.00000,0.01789,0.01789,0.01789,-0.00069,0.00144,0.00432,0.00417,0.00393,0.00296
1.35017,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.02472,0.02472,-0.00000,0.00000,0.00000,0.01789,0.01789,0.01789,-0.00069,0.00144,0.00432,0.00417,0.00393,0.00296
1.40022,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.02443,0.02443,-0.00000,0.00000,0.00000,0.01790,0.01790,0.01790,-0.00203,0.00119,0.00512,0.00407,0.00359,0.00301
1.45029,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.02443,0.02443,-0.00000,0.00000,0.00000,0.01790,0.01790,0.01790,-0.00203,0.00119,0.00512,0.00407,0.00359,0.00301
1.50107,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.02311,0.02311,-0.00000,0.00000,0.00000,0.01791,0.01791,0.01791,-0.00395,0.00039,0.00539,0.00370,0.00336,0.00296
1.55055,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.02311,0.02311,-0.00000,0.00000,0.00000,0.01791,0.01791,0.01791,-0.00395,0.00039,0.00539,0.00370,0.00336,0.00296
1.60018,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.02311,0.02311,-0.00000,0.00000,0.00000,0.01791,0.01791,0.01791,-0.00395,0.00039,0.00539,0.00370,0.00336,0.00296
1.65033,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.02241,0.02241,-0.00000,0.00000,0.00000,0.01791,0.01791,0.01791,-0.00358,0.00049,0.00562,0.00340,0.00312,0.00292
1.70050,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,-0.00000,0.00000,0.00000,0.02241,0.02241,-0.00000,0.00000,0.00000,0.01791,0.01791,0.01791,-0.00358,0.00049,0.00562,0.00340,0.00312,0.00292
